# b'S_10_45_M'
# q I errors
5.619091019940264685e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.685631453091173510e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.809353804188320755e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.933076155285467729e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.056798506382615245e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.180520857479762219e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.304243208576910278e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.427965559674056167e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.551687910771204226e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.067541026186835228e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.179913261296549817e-03 3.067101669311523438e+01 7.889310717582702637e-01
1.292285496406264406e-03 3.172204399108886719e+01 1.428227573633193970e-01
1.404657731515979212e-03 3.056866073608398438e+01 7.426606118679046631e-02
1.517029966625694018e-03 2.974544334411621094e+01 5.278059840202331543e-02
1.629402201735408607e-03 2.892626190185546875e+01 4.534687101840972900e-02
1.741774436845123196e-03 2.809897422790527344e+01 4.123917594552040100e-02
1.854146671954838219e-03 2.732106399536132812e+01 3.804931789636611938e-02
1.966518907064552808e-03 2.656007766723632812e+01 3.504608199000358582e-02
2.078891142174267397e-03 2.581088256835937500e+01 3.279169648885726929e-02
2.191263377283981986e-03 2.506782341003417969e+01 3.067446686327457428e-02
2.303635612393696575e-03 2.438731575012207031e+01 2.903972566127777100e-02
2.416007847503411597e-03 2.358329963684082031e+01 2.732828818261623383e-02
2.528380082613125752e-03 2.293998527526855469e+01 2.605192549526691437e-02
2.640752317722840775e-03 2.225447463989257812e+01 2.491321600973606110e-02
2.753124552832555798e-03 2.166015243530273438e+01 2.379512228071689606e-02
2.865496787942269953e-03 2.096656227111816406e+01 2.274807915091514587e-02
2.977869023051984976e-03 2.034874153137207031e+01 2.180322445929050446e-02
3.090241258161699998e-03 1.974392318725585938e+01 2.084176801145076752e-02
3.202613493271414154e-03 1.913756942749023438e+01 1.995570026338100433e-02
3.314985728381129176e-03 1.860713386535644531e+01 1.925975270569324493e-02
3.427357963490843765e-03 1.798254776000976562e+01 1.843314059078693390e-02
3.539730198600558354e-03 1.748680877685546875e+01 1.775382086634635925e-02
3.652102433710273377e-03 1.696199989318847656e+01 1.717769913375377655e-02
3.764474668819987966e-03 1.645487022399902344e+01 1.679899357259273529e-02
3.876846903929702555e-03 1.595998477935791016e+01 1.665195263922214508e-02
3.989219139039417578e-03 1.548452281951904297e+01 1.632088422775268555e-02
4.101591374149131733e-03 1.498366165161132812e+01 1.587821729481220245e-02
4.213963609258846756e-03 1.457182407379150391e+01 1.549376733601093292e-02
4.326335844368561778e-03 1.412297725677490234e+01 1.515281200408935547e-02
4.438708079478275934e-03 1.372396659851074219e+01 1.474262401461601257e-02
4.551080314587990956e-03 1.331553173065185547e+01 1.434948202222585678e-02
4.663452549697705979e-03 1.290168285369873047e+01 1.401074044406414032e-02
4.775824784807420134e-03 1.255608272552490234e+01 1.368109509348869324e-02
4.888197019917135157e-03 1.219196796417236328e+01 1.330646872520446777e-02
5.000569255026850179e-03 1.185095310211181641e+01 1.302903797477483749e-02
5.112941490136564335e-03 1.150566864013671875e+01 1.266618259251117706e-02
5.225313725246278490e-03 1.123306179046630859e+01 1.240482460707426071e-02
5.337685960355994380e-03 1.091931915283203125e+01 1.214852463454008102e-02
5.450058195465708535e-03 1.059199047088623047e+01 1.221144571900367737e-02
5.562430430575422691e-03 1.030810928344726562e+01 1.222705375403165817e-02
5.674802665685138581e-03 1.001945590972900391e+01 1.218924485146999359e-02
5.787174900794852736e-03 9.761013984680175781e+00 1.208556257188320160e-02
5.899547135904566891e-03 9.490720748901367188e+00 1.195480395108461380e-02
6.011919371014282781e-03 9.231662750244140625e+00 1.185068581253290176e-02
6.124291606123996937e-03 8.986270904541015625e+00 1.170422323048114777e-02
6.236663841233711092e-03 8.756786346435546875e+00 1.157275866717100143e-02
6.349036076343426982e-03 8.526218414306640625e+00 1.143780816346406937e-02
6.461408311453141137e-03 8.305336952209472656e+00 1.128921844065189362e-02
6.573780546562855293e-03 8.090885162353515625e+00 1.113100722432136536e-02
6.686152781672570315e-03 7.890334129333496094e+00 1.097859907895326614e-02
6.798525016782285338e-03 7.685638427734375000e+00 1.080763619393110275e-02
6.910897251891999493e-03 7.510471343994140625e+00 1.062823366373777390e-02
7.023269487001714516e-03 7.338773727416992188e+00 1.047596335411071777e-02
7.135641722111429538e-03 7.149108409881591797e+00 1.030512060970067978e-02
7.248013957221143694e-03 6.983215808868408203e+00 9.859359823167324066e-03
7.360386192330858716e-03 6.859922885894775391e+00 9.391178376972675323e-03
7.472758427440573739e-03 6.686651706695556641e+00 9.058260358870029449e-03
7.585130662550287894e-03 6.521515846252441406e+00 8.753810077905654907e-03
7.697502897660002917e-03 6.374017715454101562e+00 8.531430736184120178e-03
7.809875132769717072e-03 6.230684280395507812e+00 8.298917673528194427e-03
