# b'S_22p5_45_M'
# q I errors
5.619091019940264685e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.685631453091173510e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.809353804188320755e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.933076155285467729e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.056798506382615245e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.180520857479762219e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.304243208576910278e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.427965559674056167e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.551687910771204226e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.067541026186835228e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.179913261296549817e-03 1.830622100830078125e+01 7.430050969123840332e-01
1.292285496406264406e-03 1.822369384765625000e+01 1.357654035091400146e-01
1.404657731515979212e-03 1.801116943359375000e+01 6.862425804138183594e-02
1.517029966625694018e-03 1.786810684204101562e+01 4.821500182151794434e-02
1.629402201735408607e-03 1.755924797058105469e+01 4.113088548183441162e-02
1.741774436845123196e-03 1.727735900878906250e+01 3.736545890569686890e-02
1.854146671954838219e-03 1.706378555297851562e+01 3.446515277028083801e-02
1.966518907064552808e-03 1.678354072570800781e+01 3.167296573519706726e-02
2.078891142174267397e-03 1.660337066650390625e+01 2.972207218408584595e-02
2.191263377283981986e-03 1.627297210693359375e+01 2.780790440738201141e-02
2.303635612393696575e-03 1.597139930725097656e+01 2.636013366281986237e-02
2.416007847503411597e-03 1.570200824737548828e+01 2.491572685539722443e-02
2.528380082613125752e-03 1.543686485290527344e+01 2.384029328823089600e-02
2.640752317722840775e-03 1.511106967926025391e+01 2.287934906780719757e-02
2.753124552832555798e-03 1.485611438751220703e+01 2.191677503287792206e-02
2.865496787942269953e-03 1.459521102905273438e+01 2.107897587120532990e-02
2.977869023051984976e-03 1.431283569335937500e+01 2.026175521314144135e-02
3.090241258161699998e-03 1.405252552032470703e+01 1.946173980832099915e-02
3.202613493271414154e-03 1.374192047119140625e+01 1.870022900402545929e-02
3.314985728381129176e-03 1.342665386199951172e+01 1.808531396090984344e-02
3.427357963490843765e-03 1.312779235839843750e+01 1.739662326872348785e-02
3.539730198600558354e-03 1.287108516693115234e+01 1.681744493544101715e-02
3.652102433710273377e-03 1.265236282348632812e+01 1.637881807982921600e-02
3.764474668819987966e-03 1.236481094360351562e+01 1.607074961066246033e-02
3.876846903929702555e-03 1.208903312683105469e+01 1.599228754639625549e-02
3.989219139039417578e-03 1.186381340026855469e+01 1.576554216444492340e-02
4.101591374149131733e-03 1.160466861724853516e+01 1.541533414274454117e-02
4.213963609258846756e-03 1.134525108337402344e+01 1.507715974003076553e-02
4.326335844368561778e-03 1.105445289611816406e+01 1.478358823806047440e-02
4.438708079478275934e-03 1.084116935729980469e+01 1.444841176271438599e-02
4.551080314587990956e-03 1.058295154571533203e+01 1.410224940627813339e-02
4.663452549697705979e-03 1.037826538085937500e+01 1.385308802127838135e-02
4.775824784807420134e-03 1.013254165649414062e+01 1.354790944606065750e-02
4.888197019917135157e-03 9.914732933044433594e+00 1.322255376726388931e-02
5.000569255026850179e-03 9.702107429504394531e+00 1.299527566879987717e-02
5.112941490136564335e-03 9.493839263916015625e+00 1.268477272242307663e-02
5.225313725246278490e-03 9.324589729309082031e+00 1.245092973113059998e-02
5.337685960355994380e-03 9.139905929565429688e+00 1.224861666560173035e-02
5.450058195465708535e-03 8.918070793151855469e+00 1.235270779579877853e-02
5.562430430575422691e-03 8.710658073425292969e+00 1.238788757473230362e-02
5.674802665685138581e-03 8.542652130126953125e+00 1.240400224924087524e-02
5.787174900794852736e-03 8.368527412414550781e+00 1.232663821429014206e-02
5.899547135904566891e-03 8.164937019348144531e+00 1.221828162670135498e-02
6.011919371014282781e-03 7.998267173767089844e+00 1.216321252286434174e-02
6.124291606123996937e-03 7.791615009307861328e+00 1.201102230697870255e-02
6.236663841233711092e-03 7.634823322296142578e+00 1.190663594752550125e-02
6.349036076343426982e-03 7.473950386047363281e+00 1.179976295679807663e-02
6.461408311453141137e-03 7.303774833679199219e+00 1.166177541017532349e-02
6.573780546562855293e-03 7.151987552642822266e+00 1.152938231825828552e-02
6.686152781672570315e-03 7.011480331420898438e+00 1.140450220555067062e-02
6.798525016782285338e-03 6.865690231323242188e+00 1.125678792595863342e-02
6.910897251891999493e-03 6.746143341064453125e+00 1.110123470425605774e-02
7.023269487001714516e-03 6.590434074401855469e+00 1.093805860728025436e-02
7.135641722111429538e-03 6.464279651641845703e+00 1.080093160271644592e-02
7.248013957221143694e-03 6.339383602142333984e+00 1.035285647958517075e-02
7.360386192330858716e-03 6.232516765594482422e+00 9.864455088973045349e-03
7.472758427440573739e-03 6.094892024993896484e+00 9.532131254673004150e-03
7.585130662550287894e-03 5.975032329559326172e+00 9.236526675522327423e-03
7.697502897660002917e-03 5.850571632385253906e+00 9.006146341562271118e-03
7.809875132769717072e-03 5.738444805145263672e+00 8.779488503932952881e-03
